Vehicle Full Code,Vehicle Code,OEM Model Name,SIAM Company Code,SIAM Segment 1,SIAM Segment 2,SIAM Fuel,Month,Year,Production Qty,Domestic Sale,Export Sale,Category,Category Name,YrMth
VIPTOEPMDI,PT,Passat,VOLKSWAGEN INDIA PVT LTD,E,Premium:,DIESEL,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
TKCYOEPMPT,CY,Camry,TOYOTA KIRLOSKAR MOTOR PVT LTD,E,Premium:,PETROL,DEC,2014,14,0,0,PVPC,Passenger car PV,01-12-2014
SKSBOEPMPT,SB,Superb,SKODAAUTO INDIA PVT LTD,E,Premium:,PETROL,DEC,2014,37,47,0,PVPC,Passenger car PV,01-12-2014
SKSBOEPMDI,SB,Superb,SKODAAUTO INDIA PVT LTD,E,Premium:,DIESEL,DEC,2014,63,65,0,PVPC,Passenger car PV,01-12-2014
NMTAOEPMPT,TA,Teana,NISSAN MOTOR INDIA PVT LTD,E,Premium:,PETROL,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
HYSNOEPMPT,SN,Sonata,HYUNDAI MOTOR INDIA LTD,E,Premium:,PETROL,DEC,2014,0,9,0,PVPC,Passenger car PV,01-12-2014
HCADOEPMPT,AD,Accord,HONDA CARS INDIA LTD,E,Premium:,PETROL,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
VIJAODEEPT,JA,Jetta,VOLKSWAGEN INDIA PVT LTD,D,Executive,PETROL,DEC,2014,0,28,0,PVPC,Passenger car PV,01-12-2014
VIJAODEEDI,JA,Jetta,VOLKSWAGEN INDIA PVT LTD,D,Executive,DIESEL,DEC,2014,25,69,0,PVPC,Passenger car PV,01-12-2014
TKCAODEEPT,CA,Corolla,TOYOTA KIRLOSKAR MOTOR PVT LTD,D,Executive,PETROL,DEC,2014,713,613,0,PVPC,Passenger car PV,01-12-2014
NMSYCCMSPT,SY,Sunny,NISSAN MOTOR INDIA PVT LTD,C+,Mid-Size,PETROL,DEC,2014,2867,377,3382,PVPC,Passenger car PV,01-12-2014
RISACCMSDI,SA,Scala,RENAULT INDIA PVT LTD,C+,Mid-Size,DIESEL,DEC,2014,0,284,0,PVPC,Passenger car PV,01-12-2014
RISACCMSPT,SA,Scala,RENAULT INDIA PVT LTD,C+,Mid-Size,PETROL,DEC,2014,0,20,0,PVPC,Passenger car PV,01-12-2014
SKRDCCMSDI,RD,Rapid,SKODAAUTO INDIA PVT LTD,C+,Mid-Size,DIESEL,DEC,2014,809,1002,0,PVPC,Passenger car PV,01-12-2014
SKRDCCMSPT,RD,Rapid,SKODAAUTO INDIA PVT LTD,C+,Mid-Size,PETROL,DEC,2014,149,166,0,PVPC,Passenger car PV,01-12-2014
TMMACCMSDI,MA,Manza,TATA MOTORS LTD,C+,Mid-Size,DIESEL,DEC,2014,0,30,0,PVPC,Passenger car PV,01-12-2014
TMMACCMSPT,MA,Manza,TATA MOTORS LTD,C+,Mid-Size,PETROL,DEC,2014,0,2,0,PVPC,Passenger car PV,01-12-2014
VIVOCCMSDI,VO,Vento,VOLKSWAGEN INDIA PVT LTD,C+,Mid-Size,DIESEL,DEC,2014,1146,629,332,PVPC,Passenger car PV,01-12-2014
VIVOCCMSPT,VO,Vento,VOLKSWAGEN INDIA PVT LTD,C+,Mid-Size,PETROL,DEC,2014,5363,383,3199,PVPC,Passenger car PV,01-12-2014
HMABOCMSCN,AB,Ambassador,HINDUSTAN MOTORS LTD,C,Mid-Size,CNG,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
HMABOCMSDI,AB,Ambassador,HINDUSTAN MOTORS LTD,C,Mid-Size,DIESEL,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
HMABOCMSPT,AB,Ambassador,HINDUSTAN MOTORS LTD,C,Mid-Size,PETROL,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
FALACCEEDI,LA,Linea,FIAT INDIA AUTOMOBILES PVT LTD,C+,Executive,DIESEL,DEC,2014,3,252,0,PVPC,Passenger car PV,01-12-2014
FALACCEEPT,LA,Linea,FIAT INDIA AUTOMOBILES PVT LTD,C+,Executive,PETROL,DEC,2014,4,61,0,PVPC,Passenger car PV,01-12-2014
GMCEODEEDI,CE,Cruze,GENERAL MOTORS INDIA PVT LTD,D,Executive,DIESEL,DEC,2014,20,96,0,PVPC,Passenger car PV,01-12-2014
MMSTF1U1DI,ST,ST,MAHINDRA & MAHINDRA LTD,MPV,UV1,DIESEL,DEC,2014,368,459,11,PVUV,Utility vehicles PV,01-12-2014
FAGPBBCTPT,GP,Grande Punto,FIAT INDIA AUTOMOBILES PVT LTD,B+,Compact:,PETROL,DEC,2014,5,58,8,PVPC,Passenger car PV,01-12-2014
FIFGOBCTDI,FG,Figo,FORD INDIA PVT LTD,B,Compact:,DIESEL,DEC,2014,448,145,441,PVPC,Passenger car PV,01-12-2014
FIFGOBCTPT,FG,Figo,FORD INDIA PVT LTD,B,Compact:,PETROL,DEC,2014,1740,6,2475,PVPC,Passenger car PV,01-12-2014
